n,Avg. Runtime of 100 trials (ns)
1000,16718022
1100,8181536
1200,9294221
1300,9924153
1400,17542496
1500,16233713
1600,18769709
1700,21810889
1800,13880976
1900,17691622
2000,14743217
2100,17032967
2200,16315999
2300,15581366
2400,18072087
2500,17204156
2600,19105817
2700,18980726
2800,20638072
2900,20773529
3000,22089003
3100,22686407
3200,24816170
3300,23622310
3400,26928583
3500,24937387
3600,26750698
3700,39506687
3800,35895933
3900,33571607
4000,45372400
4100,38790427
4200,37819222
4300,41509146
4400,40334958
4500,37666519
4600,34494755
4700,37391962
4800,40872631
4900,33686579
5000,36374927
5100,35462486
5200,38657918
5300,36514204
5400,43885478
5500,56802422
5600,44819859
5700,48032339
5800,48261482
5900,52702889
6000,53958401
6100,55103387
6200,68079732
6300,63891563
6400,70966951
6500,61737479
6600,66740220
6700,67211636
6800,66470127
6900,74572617
7000,91949729
7100,85030591
7200,86481541
7300,85326621
7400,90656737
7500,90816593
7600,105521532
7700,106080541
7800,127267037
7900,115020300
8000,116303640
8100,101444419
8200,99823425
8300,107802560
8400,131845387
8500,104917403
8600,110693850
8700,122484305
8800,129751152
8900,125535249
9000,115936609
9100,121347091
9200,111525658
9300,110462834
9400,114796932
9500,114342608
9600,122295041
9700,129132193
9800,130377989
9900,136147076
10000,145747525
